,tweet_id,favorite_count,retweet_count
1991-04-08 14:50:04.919246848,671122204919246848,3663,2716
1991-04-08 18:07:42.904504320,671134062904504320,786,209
1991-04-08 19:24:54.582165504,671138694582165504,978,434
1991-04-08 20:12:29.288370177,671141549288370176,1223,700
1991-04-08 21:44:45.991960577,671147085991960576,699,247
1991-04-08 22:55:24.042559489,671151324042559488,702,164
1991-04-08 23:49:32.044468225,671154572044468224,754,233
1991-04-09 01:15:27.754231808,671159727754231808,393,89
1991-04-09 02:14:28.581498880,671163268581498880,1738,1189
1991-04-09 03:08:27.850801152,671166507850801152,913,383
1991-04-09 07:35:47.775299584,671182547775299584,1173,372
1991-04-09 08:36:02.933985280,671186162933985280,774,234
1991-04-11 05:26:37.085433856,671347597085433856,1013,464
1991-04-11 07:44:17.343524864,671355857343524864,499,119
1991-04-11 08:17:23.010908160,671357843010908160,420,156
1991-04-11 09:36:38.324076544,671362598324076544,1171,314
1991-04-11 17:16:20.817915904,671390180817915904,1488,792
1991-04-12 19:37:37.807351808,671485057807351808,793,249
1991-04-12 19:59:46.088865792,671486386088865792,611,225
1991-04-12 20:35:13.339211776,671488513339211776,1059,507
1991-04-12 23:06:27.707535361,671497587707535360,964,477
1991-04-13 01:03:25.491109889,671504605491109888,7391,3798
1991-04-13 02:55:50.426865664,671511350426865664,1696,777
1991-04-13 04:56:38.289059840,671518598289059840,989,312
1991-04-13 05:32:12.782923777,671520732782923776,1465,576
1991-04-13 07:46:01.649688577,671528761649688576,878,275
1991-04-13 09:12:23.490011136,671533943490011136,1073,617
1991-04-13 09:55:43.010570240,671536543010570240,1226,436
1991-04-13 10:25:01.157904385,671538301157904384,963,429
1991-04-13 11:43:05.629241344,671542985629241344,1142,605
1991-04-13 12:14:34.165002241,671544874165002240,2090,1126
1991-04-13 13:02:47.500775424,671547767500775424,1419,638
1991-04-13 13:45:32.464455680,671550332464455680,953,224
1991-04-13 16:43:22.136281088,671561002136281088,13493,7778
1991-04-15 15:38:26.628341761,671729906628341760,8964,4693
1991-04-15 17:13:11.348891648,671735591348891648,1513,804
1991-04-15 19:19:10.407421952,671743150407421952,769,242
1991-04-15 19:49:30.634719232,671744970634719232,1407,827
1991-04-16 00:55:49.865160704,671763349865160704,1758,986
1991-04-16 02:18:01.401958400,671768281401958400,1243,561
1991-04-16 08:15:08.968640512,671789708968640512,7411,3746
1991-04-17 02:39:33.984772097,671855973984772096,960,490
1991-04-17 05:32:22.182637568,671866342182637568,1168,538
1991-04-17 07:54:38.652489728,671874878652489728,1308,591
